sample_ID	paper_number	compound	chemical_family	Ln_ion	Ln_anisotropy	Ln_Kramers	concentration	coordination_number	number_of_ligands	coordination_elements	X_im_max	T_B3	T_B3H	H	Fit	Ueff	Ueff_2	Ueff_ff	tau0	tau0_ff	Hyst	T_hyst	DOI	reference	year	mol_cluster	mag_struct_cluster	mol_cluster_2	mag_struct_cluster_2	link_to_CIF
1140	2018_33	[Er(NAS)2(H2O)6](NAS)·3H2O	Mixed Ligands	Er3+	Prolate	Kramers	100	8	8	Oxygen	No Freq-dependent X''	NA	3.5	1000	NA	32	NA	NA	5.8e-9	NA	No Hysteresis	NA	10.1039/c8dt03613f	Peng, G., Zhang, Y.-Y., Li, B., Sun, X.-F., Cai, H.-L., Li, D.-J., Gu, Z.-G. & Kostakis, G. E. 2018 Single molecule magnetic behaviour in lanthanide naphthalenesulfonate complexes. Dalton Transactions 47, 17349–17356. (doi:10.1039/c8dt03613f)	2018	C	II	D	V	http://www.crystallography.net/cod/result/?doi=10.1039/c8dt03613f
1141	2018_33	[Yb(NAS)2(H2O)6](NAS)·3H2O	Mixed Ligands	Yb3+	Prolate	Kramers	100	8	8	Oxygen	No Freq-dependent X''	NA	5.7	1000	NA	45	NA	NA	5.1e-8	NA	No Hysteresis	NA	10.1039/c8dt03613f	Peng, G., Zhang, Y.-Y., Li, B., Sun, X.-F., Cai, H.-L., Li, D.-J., Gu, Z.-G. & Kostakis, G. E. 2018 Single molecule magnetic behaviour in lanthanide naphthalenesulfonate complexes. Dalton Transactions 47, 17349–17356. (doi:10.1039/c8dt03613f)	2018	C	II	D	V	http://www.crystallography.net/cod/result/?doi=10.1039/c8dt03613f
1142	2018_33	[Dy0.06Y0.94(NAS)2(H2O)6](NAS)·3H2O	Mixed Ligands	Dy3+	Oblate	Kramers	6	8	8	Oxygen	T_B3 > 2K	5	5	1000	NA	54	NA	65	1.7e-9	2.4e-10	Full Hysteresis	2.5	10.1039/c8dt03613f	Peng, G., Zhang, Y.-Y., Li, B., Sun, X.-F., Cai, H.-L., Li, D.-J., Gu, Z.-G. & Kostakis, G. E. 2018 Single molecule magnetic behaviour in lanthanide naphthalenesulfonate complexes. Dalton Transactions 47, 17349–17356. (doi:10.1039/c8dt03613f)	2018	B	II	B	III	http://www.crystallography.net/cod/result/?doi=10.1039/c8dt03613f
1143	2018_34	[Dy(LNN)(H2O)6]Cl2·2H2O	Mixed Ligands	Dy3+	Oblate	Kramers	100	8	7	Oxygen	T_B3 > 2K	NA	9	1000	NA	76.5	NA	NA	1.1e-7	NA	Not Measured	NA	10.1002/ejic.201701106	Guettas, D., Montigaud, V., Garcia, G. F., Larini, P., Cador, O., Le Guennic, B. & Pilet, G. 2017 Fine Control of the Metal Environment within Dysprosium-Based Mononuclear Single-Molecule Magnets. European Journal of Inorganic Chemistry 2018, 333–339. (doi:10.1002/ejic.201701106)	2018	B	II	B	III	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1574559
1144	2018_34	[Dy(LNN)2(MeOH)2(H2O)6]Cl	Mixed Ligands	Dy3+	Oblate	Kramers	100	8	6	Oxygen	T_B3 > 2K	NA	8	1000	NA	55	NA	NA	8.3e-7	NA	Not Measured	NA	10.1002/ejic.201701106	Guettas, D., Montigaud, V., Garcia, G. F., Larini, P., Cador, O., Le Guennic, B. & Pilet, G. 2017 Fine Control of the Metal Environment within Dysprosium-Based Mononuclear Single-Molecule Magnets. European Journal of Inorganic Chemistry 2018, 333–339. (doi:10.1002/ejic.201701106)	2018	B	II	B	III	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1574560
1145	2018_34	[Dy(LNN)3(MeOH)2]	Mixed Ligands	Dy3+	Oblate	Kramers	100	8	5	Oxygen	T_B3 > 2K	NA	7	1000	NA	44.8	NA	NA	7e-7	NA	Not Measured	NA	10.1002/ejic.201701106	Guettas, D., Montigaud, V., Garcia, G. F., Larini, P., Cador, O., Le Guennic, B. & Pilet, G. 2017 Fine Control of the Metal Environment within Dysprosium-Based Mononuclear Single-Molecule Magnets. European Journal of Inorganic Chemistry 2018, 333–339. (doi:10.1002/ejic.201701106)	2018	B	II	B	III	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1574561
1146	2018_34	[Dy(LNN)3(MeOH)]n·nH2O	Mixed Ligands	Dy3+	Oblate	Kramers	100	8	4	Oxygen+Nitrogen	T_B3 > 2K	NA	7.5	1000	NA	40.8	NA	NA	7e-7	NA	Not Measured	NA	10.1002/ejic.201701106	Guettas, D., Montigaud, V., Garcia, G. F., Larini, P., Cador, O., Le Guennic, B. & Pilet, G. 2017 Fine Control of the Metal Environment within Dysprosium-Based Mononuclear Single-Molecule Magnets. European Journal of Inorganic Chemistry 2018, 333–339. (doi:10.1002/ejic.201701106)	2018	B	II	B	III	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1574562
1147	2018_34	[Dy2(hfac)6(L1)2]·C6H14·0.25CH2Cl2	Mixed Ligands	Dy3+	Oblate	Kramers	100	8	4	Oxygen+Nitrogen	Freq-dependent X''	NA	NA	NA	NA	26	NA	NA	2.6e-5	NA	Not Measured	NA	10.1002/ejic.201700893	Kishi, Y. et al. 2017 Luminescence and Single-Molecule-Magnet Behaviour in Lanthanide Coordination Complexes Involving Benzothiazole-Based Tetrathiafulvalene Ligands. European Journal of Inorganic Chemistry 2018, 458–468. (doi:10.1002/ejic.201700893)	2018	B	II	B	III	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1558616
1148	2018_35	[Yb2(hfac)6(L1)2]·C6H14·0.30CH2Cl2	Mixed Ligands	Yb3+	Prolate	Kramers	100	8	4	Oxygen+Nitrogen	No Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1002/ejic.201700893	Kishi, Y. et al. 2017 Luminescence and Single-Molecule-Magnet Behaviour in Lanthanide Coordination Complexes Involving Benzothiazole-Based Tetrathiafulvalene Ligands. European Journal of Inorganic Chemistry 2018, 458–468. (doi:10.1002/ejic.201700893)	2018	C	Unassigned	D	Unassigned	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1558617
1149	2018_35	[Dy(hfac)3(L2)]	Mixed Ligands	Dy3+	Oblate	Kramers	100	8	4	Oxygen+Nitrogen	Freq-dependent X''	NA	NA	NA	NA	19	NA	NA	3.4e-5	NA	Not Measured	NA	10.1002/ejic.201700893	Kishi, Y. et al. 2017 Luminescence and Single-Molecule-Magnet Behaviour in Lanthanide Coordination Complexes Involving Benzothiazole-Based Tetrathiafulvalene Ligands. European Journal of Inorganic Chemistry 2018, 458–468. (doi:10.1002/ejic.201700893)	2018	B	II	B	III	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1558618
1150	2018_35	[Yb(hfac)3(L2)]	Mixed Ligands	Yb3+	Prolate	Kramers	100	8	4	Oxygen+Nitrogen	No Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1002/ejic.201700893	Kishi, Y. et al. 2017 Luminescence and Single-Molecule-Magnet Behaviour in Lanthanide Coordination Complexes Involving Benzothiazole-Based Tetrathiafulvalene Ligands. European Journal of Inorganic Chemistry 2018, 458–468. (doi:10.1002/ejic.201700893)	2018	C	Unassigned	D	Unassigned	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1558619
1151	2018_35	[Yb(tta)3(L1)]	Mixed Ligands	Yb3+	Prolate	Kramers	100	8	4	Oxygen+Nitrogen	No Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1002/ejic.201700893	Kishi, Y. et al. 2017 Luminescence and Single-Molecule-Magnet Behaviour in Lanthanide Coordination Complexes Involving Benzothiazole-Based Tetrathiafulvalene Ligands. European Journal of Inorganic Chemistry 2018, 458–468. (doi:10.1002/ejic.201700893)	2018	C	Unassigned	D	Unassigned	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1510235
1152	2018_35	[Er(tta)3(L1)]	Mixed Ligands	Er3+	Prolate	Kramers	100	8	4	Oxygen+Nitrogen	No Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1002/ejic.201700893	Kishi, Y. et al. 2017 Luminescence and Single-Molecule-Magnet Behaviour in Lanthanide Coordination Complexes Involving Benzothiazole-Based Tetrathiafulvalene Ligands. European Journal of Inorganic Chemistry 2018, 458–468. (doi:10.1002/ejic.201700893)	2018	C	Unassigned	D	Unassigned	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1510238
1153	2018_37	[L1ZnClDy(acac)2]-H2O	TM near Ln	Dy3+	Oblate	Kramers	100	8	3	Oxygen	T_B3 > 2K	NA	5	1300	NA	25.76	NA	NA	6.56e-6	NA	No Hysteresis	NA	10.1021/acs.inorgchem.8b00056	Yang, J.-W., Tian, Y.-M., Tao, J., Chen, P., Li, H.-F., Zhang, Y.-Q., Yan, P.-F. & Sun, W.-B. 2018 Modulation of the Coordination Environment around the Magnetic Easy Axis Leads to Significant Magnetic Relaxations in a Series of 3d-4f Schiff Complexes. Inorganic Chemistry 57, 8065–8077. (doi:10.1021/acs.inorgchem.8b00056)	2018	B	II	C	V	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1544545
1154	2018_37	[L1ZnBrDy(acac)2]·H2O	TM near Ln	Dy3+	Oblate	Kramers	100	8	3	Oxygen	T_B3 > 2K	NA	5	1300	NA	20.52	NA	NA	3.94e-5	NA	No Hysteresis	NA	10.1021/acs.inorgchem.8b00056	Yang, J.-W., Tian, Y.-M., Tao, J., Chen, P., Li, H.-F., Zhang, Y.-Q., Yan, P.-F. & Sun, W.-B. 2018 Modulation of the Coordination Environment around the Magnetic Easy Axis Leads to Significant Magnetic Relaxations in a Series of 3d-4f Schiff Complexes. Inorganic Chemistry 57, 8065–8077. (doi:10.1021/acs.inorgchem.8b00056)	2018	B	II	C	V	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1544546
1155	2018_37	[L1Zn(H2O)Dy(acac)2]-CH2Cl2·PF6	TM near Ln	Dy3+	Oblate	Kramers	100	8	3	Oxygen	T_B3 > 2K	NA	8.5	1300	NA	29.62	NA	NA	8.59e-6	NA	Pinched Hysteresis	1.8	10.1021/acs.inorgchem.8b00056	Yang, J.-W., Tian, Y.-M., Tao, J., Chen, P., Li, H.-F., Zhang, Y.-Q., Yan, P.-F. & Sun, W.-B. 2018 Modulation of the Coordination Environment around the Magnetic Easy Axis Leads to Significant Magnetic Relaxations in a Series of 3d-4f Schiff Complexes. Inorganic Chemistry 57, 8065–8077. (doi:10.1021/acs.inorgchem.8b00056)	2018	B	II	C	V	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1544547
1156	2018_37	[L2Zn(II)(H2O)Dy(acac)2]·PF6	TM near Ln	Dy3+	Oblate	Kramers	100	8	3	Oxygen	Freq-dependent X''	NA	9.5	1500	NA	37.94	NA	NA	3.82e-6	NA	No Hysteresis	NA	10.1021/acs.inorgchem.8b00056	Yang, J.-W., Tian, Y.-M., Tao, J., Chen, P., Li, H.-F., Zhang, Y.-Q., Yan, P.-F. & Sun, W.-B. 2018 Modulation of the Coordination Environment around the Magnetic Easy Axis Leads to Significant Magnetic Relaxations in a Series of 3d-4f Schiff Complexes. Inorganic Chemistry 57, 8065–8077. (doi:10.1021/acs.inorgchem.8b00056)	2018	B	II	C	V	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1544548
1157	2018_37	[L1Co(III)Br2Dy(acac)2]·CH2Cl2	TM near Ln	Dy3+	Oblate	Kramers	100	8	3	Oxygen	T_B3 > 2K	19	NA	NA	NA	167.66	NA	NA	8.28e-8	NA	Pinched Hysteresis	3.5	10.1021/acs.inorgchem.8b00056	Yang, J.-W., Tian, Y.-M., Tao, J., Chen, P., Li, H.-F., Zhang, Y.-Q., Yan, P.-F. & Sun, W.-B. 2018 Modulation of the Coordination Environment around the Magnetic Easy Axis Leads to Significant Magnetic Relaxations in a Series of 3d-4f Schiff Complexes. Inorganic Chemistry 57, 8065–8077. (doi:10.1021/acs.inorgchem.8b00056)	2018	B	II	C	V	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1544549
1158	2018_37	[L2Co(III)Cl2Dy(acac)Cl(MeO)]	TM near Ln	Dy3+	Oblate	Kramers	100	8	4	Others	T_B3 > 2K	NA	19	1500	NA	130.53	NA	NA	2.9e-7	NA	Pinched Hysteresis	3	10.1021/acs.inorgchem.8b00056	Yang, J.-W., Tian, Y.-M., Tao, J., Chen, P., Li, H.-F., Zhang, Y.-Q., Yan, P.-F. & Sun, W.-B. 2018 Modulation of the Coordination Environment around the Magnetic Easy Axis Leads to Significant Magnetic Relaxations in a Series of 3d-4f Schiff Complexes. Inorganic Chemistry 57, 8065–8077. (doi:10.1021/acs.inorgchem.8b00056)	2018	B	II	B	IV	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1544550
1159	2018_37	[L2Co(III)Cl2Dy(acac)Cl(H2O)]	TM near Ln	Dy3+	Oblate	Kramers	100	8	4	Others	T_B3 > 2K	20	NA	NA	NA	75.28	NA	NA	3.47e-6	NA	Pinched Hysteresis	3	10.1021/acs.inorgchem.8b00056	Yang, J.-W., Tian, Y.-M., Tao, J., Chen, P., Li, H.-F., Zhang, Y.-Q., Yan, P.-F. & Sun, W.-B. 2018 Modulation of the Coordination Environment around the Magnetic Easy Axis Leads to Significant Magnetic Relaxations in a Series of 3d-4f Schiff Complexes. Inorganic Chemistry 57, 8065–8077. (doi:10.1021/acs.inorgchem.8b00056)	2018	B	II	B	IV	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1544551
1160	2018_37	[L2Co(III)Cl2Dy(NO3)2(MeO)]	TM near Ln	Dy3+	Oblate	Kramers	100	9	4	Oxygen	No Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	No Hysteresis	NA	10.1021/acs.inorgchem.8b00056	Yang, J.-W., Tian, Y.-M., Tao, J., Chen, P., Li, H.-F., Zhang, Y.-Q., Yan, P.-F. & Sun, W.-B. 2018 Modulation of the Coordination Environment around the Magnetic Easy Axis Leads to Significant Magnetic Relaxations in a Series of 3d-4f Schiff Complexes. Inorganic Chemistry 57, 8065–8077. (doi:10.1021/acs.inorgchem.8b00056)	2018	B	Unassigned	C	Unassigned	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1544552
1161	2018_37	[L1Zn(H2O)Dy/Y(acac)2]-CH2Cl2·PF6	TM near Ln	Dy3+	Oblate	Kramers	5	8	3	Oxygen	T_B3 > 2K	23	NA	NA	NA	57.21	NA	204.33	1.68e-5	1.78e-9	Pinched Hysteresis	3	10.1021/acs.inorgchem.8b00056	Yang, J.-W., Tian, Y.-M., Tao, J., Chen, P., Li, H.-F., Zhang, Y.-Q., Yan, P.-F. & Sun, W.-B. 2018 Modulation of the Coordination Environment around the Magnetic Easy Axis Leads to Significant Magnetic Relaxations in a Series of 3d-4f Schiff Complexes. Inorganic Chemistry 57, 8065–8077. (doi:10.1021/acs.inorgchem.8b00056)	2018	B	II	C	V	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1544547
1162	2018_37	[L2Co(III)Cl2Dy(acac)Cl(MeO)]	TM near Ln	Dy3+	Oblate	Kramers	5	8	4	Others	T_B3 > 2K	16	NA	NA	NA	102.65	NA	285.04	1.55e-6	8.32e-10	Pinched Hysteresis	3.5	10.1021/acs.inorgchem.8b00056	Yang, J.-W., Tian, Y.-M., Tao, J., Chen, P., Li, H.-F., Zhang, Y.-Q., Yan, P.-F. & Sun, W.-B. 2018 Modulation of the Coordination Environment around the Magnetic Easy Axis Leads to Significant Magnetic Relaxations in a Series of 3d-4f Schiff Complexes. Inorganic Chemistry 57, 8065–8077. (doi:10.1021/acs.inorgchem.8b00056)	2018	B	II	B	IV	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1544549
1163	2018_37	[L2Co(III)Cl2Dy(acac)Cl(H2O)]	TM near Ln	Dy3+	Oblate	Kramers	5	8	4	Others	T_B3 > 2K	19	NA	NA	NA	128.27	NA	220.88	4.51e-7	9.36e-9	Pinched Hysteresis	4	10.1021/acs.inorgchem.8b00056	Yang, J.-W., Tian, Y.-M., Tao, J., Chen, P., Li, H.-F., Zhang, Y.-Q., Yan, P.-F. & Sun, W.-B. 2018 Modulation of the Coordination Environment around the Magnetic Easy Axis Leads to Significant Magnetic Relaxations in a Series of 3d-4f Schiff Complexes. Inorganic Chemistry 57, 8065–8077. (doi:10.1021/acs.inorgchem.8b00056)	2018	B	II	B	IV	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1544550
1164	2018_38	[Tb2(H2daps)2(CH3OH)5.5(H2O)0.5](Cl)2	Other Families	Tb3+	Oblate	Non-Kramers	100	9	4	Oxygen+Nitrogen	No Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1021/acs.inorgchem.8b01251	Fondo, M., Corredoira-Vázquez, J., García-Deibe, A. M., Sanmartín-Matalobos, J., Herrera, J. M. & Colacio, E. 2018 Tb2, Dy2, and Zn2Dy4 Complexes Showing the Unusual Versatility of a Hydrazone Ligand toward Lanthanoid Ions: a Structural and Magnetic Study. Inorganic Chemistry 57, 10100–10110. (doi:10.1021/acs.inorgchem.8b01251)	2018	B	Unassigned	E	Unassigned	NA
1165	2018_38	[Dy2(H2daps)2(Cl)(CH3OH)3(H2O)]Cl	Other Families	Dy3+	Oblate	Kramers	100	8	4	Others	No Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1021/acs.inorgchem.8b01251	Fondo, M., Corredoira-Vázquez, J., García-Deibe, A. M., Sanmartín-Matalobos, J., Herrera, J. M. & Colacio, E. 2018 Tb2, Dy2, and Zn2Dy4 Complexes Showing the Unusual Versatility of a Hydrazone Ligand toward Lanthanoid Ions: a Structural and Magnetic Study. Inorganic Chemistry 57, 10100–10110. (doi:10.1021/acs.inorgchem.8b01251)	2018	B	Unassigned	B	Unassigned	NA
1166	2018_38	[Dy2(H2daps)2(H2O)6](CF3SO3)2·2THF	Other Families	Dy3+	Oblate	Kramers	100	9	4	Oxygen+Nitrogen	No Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1021/acs.inorgchem.8b01251	Fondo, M., Corredoira-Vázquez, J., García-Deibe, A. M., Sanmartín-Matalobos, J., Herrera, J. M. & Colacio, E. 2018 Tb2, Dy2, and Zn2Dy4 Complexes Showing the Unusual Versatility of a Hydrazone Ligand toward Lanthanoid Ions: a Structural and Magnetic Study. Inorganic Chemistry 57, 10100–10110. (doi:10.1021/acs.inorgchem.8b01251)	2018	B	Unassigned	B	Unassigned	NA
1167	2018_38	[Y1.904Dy0.096(H2daps)2(Cl)(H2O)4]Cl	Other Families	Dy3+	Oblate	Kramers	4.8	8	4	Others	T_B3 > 2K	NA	11	1000	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1021/acs.inorgchem.8b01251	Fondo, M., Corredoira-Vázquez, J., García-Deibe, A. M., Sanmartín-Matalobos, J., Herrera, J. M. & Colacio, E. 2018 Tb2, Dy2, and Zn2Dy4 Complexes Showing the Unusual Versatility of a Hydrazone Ligand toward Lanthanoid Ions: a Structural and Magnetic Study. Inorganic Chemistry 57, 10100–10110. (doi:10.1021/acs.inorgchem.8b01251)	2018	B	Unassigned	B	Unassigned	NA
1168	2018_38	[Nd(CyPh2PO)2(H2O)5]I3·2(CyPh2PO)·3EtOH	Other Families	Nd3+	Oblate	Kramers	100	7	7	Oxygen	T_B3 > 2K	7	NA	NA	NA	NA	NA	NA	NA	NA	Pinched Hysteresis	2.5	10.1021/acs.inorgchem.8b01957	Chen, Y.-C., Huang, X.-S., Liu, J.-L. & Tong, M.-L. 2018 Magnetic Dynamics of a Neodymium(III) Single-Ion Magnet. Inorganic Chemistry 57, 11782–11787. (doi:10.1021/acs.inorgchem.8b01957)	2018	B	Unassigned	C	Unassigned	NA
1169	2018_39	[Dy(L)3(HL)(THF)2]	Mixed Ligands	Dy3+	Oblate	Kramers	100	8	6	Oxygen+Nitrogen	T_B3 > 2K	18	NA	NA	NA	169	NA	NA	1.88e-8	NA	Pinched Hysteresis	3	10.1021/acs.inorgchem.8b01878	Guo, M., Zhang, Y.-Q., Zhu, Z. & Tang, J. 2018 Dysprosium Compounds with Hula-Hoop-like Geometries: The Influence of Magnetic Anisotropy and Magnetic Interactions on Magnetic Relaxation. Inorganic Chemistry 57, 12213–12221. (doi:10.1021/acs.inorgchem.8b01878)	2018	B	II	B	III	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1850697
1170	2018_40	Dy[H(Hp)2]	LnPc2	Dy3+	Oblate	Kramers	100	8	2	Nitrogen	T_B3 > 2K	12	NA	NA	NA	80.1	NA	NA	3.05e-7	NA	Pinched Hysteresis	3	10.1021/acs.inorgchem.8b02068	Liu, W., Zeng, S., Chen, X., Pan, H., Qi, D., Wang, K., Dou, J. & Jiang, J. 2018 Hemiporphyrazine-Involved Sandwich Dysprosium Double-Decker Single-Ion Magnets. Inorganic Chemistry 57, 12347–12353. (doi:10.1021/acs.inorgchem.8b02068)	2018	D	III	F	VIII	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1558646
1171	2018_41	Dy[H(Pc)(Hp)]	LnPc2	Dy3+	Oblate	Kramers	100	8	2	Nitrogen	T_B3 > 2K	10	NA	NA	NA	57.3	NA	NA	1.92e-6	NA	Pinched Hysteresis	3	10.1021/acs.inorgchem.8b02068	Liu, W., Zeng, S., Chen, X., Pan, H., Qi, D., Wang, K., Dou, J. & Jiang, J. 2018 Hemiporphyrazine-Involved Sandwich Dysprosium Double-Decker Single-Ion Magnets. Inorganic Chemistry 57, 12347–12353. (doi:10.1021/acs.inorgchem.8b02068)	2018	D	III	F	VIII	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=1557721
1172	2018_41	[{((S)-PEBA }Sm(COT)(THF)	Mixed Ligands	Sm3+	Prolate	Kramers	100	4	3	Others	No Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1021/acs.organomet.8b00412	He, M. et al. 2018 Enantiopure Benzamidinate/Cyclooctatetraene Complexes of the Rare-Earth Elements: Synthesis, Structure, and Magnetism. Organometallics 37, 3708–3717. (doi:10.1021/acs.organomet.8b00412)	2018	C	Unassigned	D	Unassigned	NA
1173	2018_42	[{((S)-PEBA }Dy(COT)(THF)	Mixed Ligands	Dy3+	Oblate	Kramers	100	4	3	Others	No Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1021/acs.organomet.8b00412	He, M. et al. 2018 Enantiopure Benzamidinate/Cyclooctatetraene Complexes of the Rare-Earth Elements: Synthesis, Structure, and Magnetism. Organometallics 37, 3708–3717. (doi:10.1021/acs.organomet.8b00412)	2018	C	Unassigned	D	Unassigned	NA
1174	2018_42	[{((S)-PEBA }Er(COT)(THF)	Mixed Ligands	Er3+	Prolate	Kramers	100	4	3	Others	No Freq-dependent X''	NA	7	1000	NA	49.7	NA	NA	1.8e-7	NA	Not Measured	NA	10.1021/acs.organomet.8b00412	He, M. et al. 2018 Enantiopure Benzamidinate/Cyclooctatetraene Complexes of the Rare-Earth Elements: Synthesis, Structure, and Magnetism. Organometallics 37, 3708–3717. (doi:10.1021/acs.organomet.8b00412)	2018	C	II	D	IV	NA
1175	2018_42	[{((S)-PEBA }Yb(COT)(THF)	Mixed Ligands	Yb3+	Prolate	Kramers	100	4	3	Others	No Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1021/acs.organomet.8b00412	He, M. et al. 2018 Enantiopure Benzamidinate/Cyclooctatetraene Complexes of the Rare-Earth Elements: Synthesis, Structure, and Magnetism. Organometallics 37, 3708–3717. (doi:10.1021/acs.organomet.8b00412)	2018	C	Unassigned	D	Unassigned	NA
1176	2018_42	[{(S)-PETA}Dy(COT)(THF)]	Mixed Ligands	Dy3+	Oblate	Kramers	100	4	3	Others	No Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1021/acs.organomet.8b00412	He, M. et al. 2018 Enantiopure Benzamidinate/Cyclooctatetraene Complexes of the Rare-Earth Elements: Synthesis, Structure, and Magnetism. Organometallics 37, 3708–3717. (doi:10.1021/acs.organomet.8b00412)	2018	C	Unassigned	D	Unassigned	NA
1177	2018_42	[{(S)-PETA}Er(COT)(THF)]	Mixed Ligands	Er3+	Prolate	Kramers	100	4	3	Others	No Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1021/acs.organomet.8b00412	He, M. et al. 2018 Enantiopure Benzamidinate/Cyclooctatetraene Complexes of the Rare-Earth Elements: Synthesis, Structure, and Magnetism. Organometallics 37, 3708–3717. (doi:10.1021/acs.organomet.8b00412)	2018	C	Unassigned	D	Unassigned	NA
1178	2018_42	[{(S)-PETA}Yb(COT)(THF)]	Mixed Ligands	Yb3+	Prolate	Kramers	100	4	3	Others	No Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1021/acs.organomet.8b00412	He, M. et al. 2018 Enantiopure Benzamidinate/Cyclooctatetraene Complexes of the Rare-Earth Elements: Synthesis, Structure, and Magnetism. Organometallics 37, 3708–3717. (doi:10.1021/acs.organomet.8b00412)	2018	C	Unassigned	D	Unassigned	NA
1179	2018_42	[Tb(H2O)3(18-crown-6)](ClO4)3	Mixed Ligands	Tb3+	Oblate	Non-Kramers	100	9	4	Oxygen	No Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1021/acs.inorgchem.8b01688	Maxwell, L., Amoza, M. & Ruiz, E. 2018 Mononuclear Lanthanide Complexes with 18-Crown-6 Ether: Synthesis, Characterization, Magnetic Properties, and Theoretical Studies. Inorganic Chemistry 57, 13225–13234. (doi:10.1021/acs.inorgchem.8b01688)	2018	B	Unassigned	E	Unassigned	NA
1180	2018_43	[Dy(H2O)3(18-crown-6)](ClO4)3	Mixed Ligands	Dy3+	Oblate	Kramers	100	9	4	Oxygen	Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1021/acs.inorgchem.8b01688	Maxwell, L., Amoza, M. & Ruiz, E. 2018 Mononuclear Lanthanide Complexes with 18-Crown-6 Ether: Synthesis, Characterization, Magnetic Properties, and Theoretical Studies. Inorganic Chemistry 57, 13225–13234. (doi:10.1021/acs.inorgchem.8b01688)	2018	B	Unassigned	C	Unassigned	NA
1181	2018_43	[Er(H2O)3(18-crown-6)](ClO4)3	Mixed Ligands	Er3+	Prolate	Kramers	100	9	4	Oxygen	No Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1021/acs.inorgchem.8b01688	Maxwell, L., Amoza, M. & Ruiz, E. 2018 Mononuclear Lanthanide Complexes with 18-Crown-6 Ether: Synthesis, Characterization, Magnetic Properties, and Theoretical Studies. Inorganic Chemistry 57, 13225–13234. (doi:10.1021/acs.inorgchem.8b01688)	2018	C	Unassigned	D	Unassigned	NA
